##Time MemTotal MemFree MemAvailable Cached Active Inactive AnonPages Mapped Shmem
01:00:08 756940 619036 625360 8976 13384 6408 7036 2416 20
01:00:10 756940 515732 551768 29268 94788 26512 79396 11304 20
01:00:12 756940 514484 554332 32208 93204 29380 76576 12952 20
01:00:14 756940 464084 509156 35608 94628 32756 76460 15860 20
01:00:17 756940 457128 508300 39556 97296 36592 77016 18476 24
01:00:19 756940 454480 506532 40156 98748 37228 78332 19384 24
01:00:21 756940 450076 502984 40664 103096 37640 82172 19780 24
01:00:23 756940 411136 471300 47108 115716 41728 91684 26376 32
01:00:25 756940 387912 458544 56832 128148 50780 102840 36036 48
01:00:27 756940 379076 455752 62932 130652 56624 104944 41772 132
01:00:29 758560 375076 454300 64960 134444 58544 108136 44320 132
01:00:31 758560 376052 455568 65228 132436 58748 106140 44364 132
01:00:33 758560 376192 455744 65260 132464 58784 106108 44396 132
01:00:35 758560 374484 455072 66568 133840 59984 107560 45552 340
01:00:37 758560 355000 438980 71240 148288 64728 121880 49524 1728
01:00:39 758560 354480 438476 71240 148348 64744 121948 49524 1728
01:00:41 758560 344132 429124 75360 152972 68812 126692 53564 4852
01:00:44 758560 287140 373048 74048 156972 67552 130500 52368 2768
01:00:46 758560 287844 373764 74060 157024 67564 130484 52372 2768
01:00:48 758560 260416 346632 92056 156576 85544 130108 70396 20476
01:00:50 758560 277096 363312 74392 156604 67892 130136 52732 2812
01:00:52 758560 277320 363536 74392 156700 67892 130112 52732 2812
01:00:54 758560 277148 363364 74392 156680 67892 130128 52732 2812
01:00:56 758560 277236 363452 74392 156588 67892 130100 52732 2812
01:00:58 758560 277328 363544 74392 156612 67892 130124 52732 2812
01:01:00 758560 277428 363644 74392 156612 67892 130052 52732 2812
01:01:02 758560 277436 363652 74392 156600 67892 130136 52732 2812
01:01:04 758560 277476 363692 74392 156600 67892 130124 52732 2812
01:01:07 758560 277528 363744 74392 156656 67892 130096 52732 2812
01:01:09 758560 277452 363668 74392 156612 67892 130124 52732 2812
01:01:11 758560 277320 363536 74392 156700 67892 130048 52732 2812
01:01:13 758560 277328 363544 74392 156664 67892 130064 52732 2812
01:01:15 758560 277344 363560 74392 156664 67892 130076 52732 2812
01:01:17 758560 277552 363768 74392 156604 67892 130028 52732 2812
01:01:19 758560 277468 363684 74392 156712 67892 130112 52732 2812
01:01:21 758560 277404 363620 74392 156612 67892 130052 52732 2812
01:01:23 758560 277644 363860 74392 156656 67892 130096 52732 2812
01:01:25 758560 277412 363628 74392 156668 67892 130112 52732 2812
01:01:27 758560 277568 363784 74392 156612 67892 130052 52732 2812
01:01:30 758560 277576 363792 74396 156624 67892 130168 52736 2812
01:01:32 758560 277504 363728 74400 156700 67904 130188 52740 2812
01:01:34 758560 277708 363932 74400 156680 67904 130120 52740 2812
01:01:36 758560 277504 363728 74400 156700 67904 130216 52740 2812
01:01:38 758560 277520 363744 74400 156756 67904 130188 52740 2812
01:01:40 758560 277460 363684 74400 156680 67904 130120 52740 2812
01:01:42 758560 277520 363744 74400 156744 67904 130188 52740 2812
01:01:44 758560 277504 363728 74400 156688 67904 130168 52740 2812
01:01:46 758560 277420 363644 74400 156700 67904 130152 52740 2812
01:01:48 758560 277504 363728 74400 156764 67904 130184 52740 2812
01:01:50 758560 277480 363704 74400 156756 67904 130204 52740 2812
01:01:52 758560 277528 363752 74400 156660 67900 130144 52740 2812
01:01:55 758560 277380 363604 74400 156756 67900 130192 52740 2812
01:01:57 758560 277180 363404 74400 156384 67900 129896 52740 2812
01:01:59 758560 277232 363456 74400 156468 67900 129908 52740 2812
01:02:01 758560 277488 363712 74400 156396 67900 129892 52740 2812
01:02:03 758560 277504 363728 74400 156464 67900 129892 52740 2812
01:02:05 758560 277528 363752 74400 156456 67900 129924 52740 2812
01:02:07 758560 277544 363768 74400 156408 67900 129920 52740 2812
01:02:09 758560 277620 363844 74400 156472 67900 129896 52740 2812
01:02:11 758560 277876 364100 74400 156460 67900 129908 52740 2812
01:02:13 758560 277924 364148 74400 156416 67900 129860 52804 2812
01:02:15 758560 277612 363840 74404 156464 67904 129892 52740 2812
01:02:17 758560 277916 364144 74404 156388 67900 129904 52740 2812
01:02:20 758560 277380 363608 74404 156476 67900 129900 52740 2812
01:02:22 758560 277132 363360 74404 156464 67900 129888 52740 2812
01:02:24 758560 277248 363476 74404 156460 67900 129896 52740 2812
01:02:26 758560 277348 363576 74404 156460 67900 129912 52740 2812
01:02:28 758560 277380 363608 74404 156404 67900 129924 52740 2812
01:02:30 758560 277584 363812 74408 156416 67900 129980 52744 2812
01:02:32 758560 277528 363760 74408 156504 67904 129956 52744 2812
01:02:34 758560 277436 363668 74408 156516 67904 129940 52744 2812
01:02:36 758560 277412 363644 74408 156496 67904 129944 52744 2812
01:02:38 758560 277444 363676 74408 156460 67904 129960 52744 2812
01:02:40 758560 277312 363544 74408 156448 67904 129980 52744 2812
01:02:43 758560 277320 363552 74408 156440 67904 129960 52744 2812
01:02:45 758560 277172 363404 74408 156440 67904 129952 52744 2812
01:02:47 758560 277536 363768 74408 156512 67904 129944 52744 2812
01:02:49 758560 277692 363924 74408 156460 67904 129968 52744 2812
01:02:51 758560 277644 363876 74408 156516 67904 129940 52744 2812
01:02:53 758560 277388 363620 74408 156508 67904 129944 52744 2812
01:02:55 758560 277404 363636 74408 156504 67904 129956 52744 2812
01:02:57 758560 277280 363512 74408 156504 67904 129956 52744 2812
01:02:59 758560 277272 363504 74408 156492 67904 129928 52744 2812
01:03:01 758560 277452 363684 74408 156440 67904 129960 52744 2812
01:03:03 758560 277288 363520 74408 156508 67904 129920 52744 2812
01:03:05 758560 277568 363800 74408 156448 67904 129980 52744 2812
